id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,rank
5,6,0.05,10000,0.75,703828,1,1344,295231,23,1664,2762264
0,5,0.01,100000,0.75,2832248,2,10200,1836870,23,16,2712332
5,6,0.2,100000,0.5,626855,1,168,52,22,126,2008010
2,5,0.01,10000,0.5,2836117,2,9840,1836189,23,5,1832172
3,3,0.01,100000,0.5,7051192,1,19272,3504348,23,6,3538840
8,4,0.05,10000,0.0,754410,1,984,523495,23,1,569838
6,3,0.1,1000000,0.0,1267508,2,2112,2861767,23,6,3216888
3,4,0.1,1000000,0.0,633320,2,624,46957,23,1,396185
9,7,0.01,1000000,1.0,2037789,2,8112,1375496,23,999995,3531027
0,0,0.1,100000,0.25,621476,0,984,122827,23,16780,67102
4,5,0.2,1000000,0.75,622039,2,168,261,23,8,2714523
9,4,0.05,10000,0.5,755799,1,984,523495,23,6,1832068
1,6,0.1,100000,1.0,631812,0,216,21720,23,99995,3522177
